event_id,user_id,event_time,event_name,order_value
E0001,U0001,2025-01-29,login,
E0002,U0001,2025-04-08,purchase,11.87
E0003,U0001,2025-04-08,browse,
E0004,U0002,2025-04-29,browse,
E0005,U0002,2025-01-05,purchase,115.72
E0006,U0002,2025-02-25,browse,
E0007,U0002,2025-04-10,feature_used,
E0008,U0003,2025-04-18,browse,
E0009,U0003,2025-03-12,login,
E0010,U0003,2025-04-16,browse,
E0011,U0003,2025-02-26,purchase,71.5
E0012,U0003,2025-04-04,feature_used,
E0013,U0004,2025-04-21,login,
E0014,U0004,2025-04-05,purchase,110.51
E0015,U0004,2025-01-28,browse,
E0016,U0004,2025-03-16,login,
E0017,U0004,2025-04-17,purchase,11.97
E0018,U0004,2025-03-06,browse,
E0019,U0004,2025-03-31,feature_used,
E0020,U0005,2025-01-05,purchase,10.12
E0021,U0005,2025-03-25,login,
E0022,U0005,2025-02-21,browse,
E0023,U0005,2025-04-15,browse,
E0024,U0006,2025-01-21,browse,
E0025,U0006,2025-02-15,browse,
E0026,U0006,2025-03-10,browse,
E0027,U0006,2025-01-06,browse,
E0028,U0006,2025-02-07,browse,
E0029,U0006,2025-03-03,login,
E0030,U0006,2025-03-27,purchase,10.05
E0031,U0006,2025-04-12,feature_used,
E0032,U0007,2025-04-19,purchase,96.21
E0033,U0007,2025-04-17,purchase,50.06
E0034,U0007,2025-04-18,browse,
E0035,U0007,2025-02-02,login,
E0036,U0007,2025-03-22,purchase,62.3
E0037,U0007,2025-04-22,purchase,117.83
E0038,U0008,2025-04-11,purchase,29.61
E0039,U0008,2025-03-30,browse,
E0040,U0008,2025-01-18,browse,
E0041,U0008,2025-01-19,browse,
E0042,U0008,2025-03-28,purchase,89.19
E0043,U0008,2025-03-31,feature_used,
E0044,U0009,2025-02-12,purchase,50.17
E0045,U0009,2025-04-27,browse,
E0046,U0009,2025-03-21,browse,
E0047,U0009,2025-03-07,purchase,31.68
E0048,U0009,2025-02-03,purchase,81.66
E0049,U0009,2025-04-07,feature_used,
E0050,U0010,2025-03-27,login,
E0051,U0010,2025-04-03,login,
E0052,U0010,2025-03-27,browse,
